Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,31300.000000,31350.000000,30950.000000,31000.000000,26376.990234,498014
2018-08-06,31000.000000,31900.000000,31000.000000,31600.000000,26887.511719,422009
2018-08-07,31350.000000,31950.000000,31350.000000,31850.000000,27100.230469,605808
2018-08-08,31700.000000,32250.000000,31700.000000,32150.000000,27355.492188,486438
2018-08-09,32050.000000,32050.000000,31350.000000,32050.000000,27270.406250,823101
2018-08-10,32000.000000,32500.000000,31800.000000,32250.000000,27440.580078,495175
2018-08-13,32250.000000,32550.000000,31850.000000,32300.000000,27483.121094,647050
2018-08-14,32400.000000,32450.000000,31500.000000,31500.000000,26802.425781,751339
2018-08-16,31800.000000,32400.000000,31600.000000,32400.000000,27568.208984,907383
2018-08-17,32100.000000,32250.000000,31900.000000,32100.000000,27312.947266,411850
2018-08-20,32450.000000,32500.000000,31950.000000,32300.000000,27483.121094,538833
2018-08-21,32300.000000,32550.000000,32000.000000,32250.000000,27440.580078,866035
2018-08-22,32000.000000,32200.000000,31850.000000,32050.000000,27270.406250,673645
2018-08-23,31900.000000,32100.000000,31400.000000,31650.000000,26930.056641,723171
2018-08-24,31450.000000,31650.000000,31100.000000,31250.000000,26589.707031,661605
2018-08-27,31300.000000,31650.000000,31250.000000,31500.000000,26802.425781,459652
2018-08-28,32000.000000,32600.000000,31750.000000,32000.000000,27227.863281,949561
2018-08-29,32100.000000,32150.000000,31650.000000,31850.000000,27100.230469,441626
2018-08-30,31800.000000,32200.000000,31700.000000,32150.000000,27355.492188,585921
2018-08-31,32200.000000,32250.000000,31700.000000,32050.000000,27270.406250,593611
2018-09-03,31900.000000,32100.000000,31600.000000,31800.000000,27057.687500,496108
2018-09-04,31500.000000,31850.000000,31350.000000,31600.000000,26887.511719,626091
2018-09-05,31550.000000,32750.000000,31500.000000,32200.000000,27398.035156,1230558
2018-09-06,32450.000000,34300.000000,32450.000000,33650.000000,28631.798828,2459792
2018-09-07,34000.000000,34850.000000,33900.000000,34250.000000,29142.318359,1932977
2018-09-10,34300.000000,34800.000000,33800.000000,34000.000000,28929.601563,1567256
2018-09-11,33850.000000,34100.000000,33550.000000,34050.000000,28972.144531,1005202
2018-09-12,34300.000000,34500.000000,34100.000000,34400.000000,29269.953125,798499
2018-09-13,34500.000000,34600.000000,34050.000000,34150.000000,29057.232422,968863
2018-09-14,34350.000000,34350.000000,33700.000000,34050.000000,28972.144531,755918
2018-09-17,34050.000000,34350.000000,33950.000000,34050.000000,28972.144531,530408
2018-09-18,34000.000000,34550.000000,33850.000000,34500.000000,29355.037109,1220023
2018-09-19,34700.000000,34700.000000,34350.000000,34550.000000,29397.582031,953915
2018-09-20,34750.000000,35500.000000,34600.000000,34850.000000,29652.843750,1453514
2018-09-21,35350.000000,35350.000000,34300.000000,34550.000000,29397.582031,920394
2018-09-27,35600.000000,35600.000000,34500.000000,35250.000000,29993.191406,1534142
2018-09-28,35250.000000,35450.000000,34750.000000,35100.000000,29865.558594,1119501
2018-10-01,35150.000000,35200.000000,34100.000000,34350.000000,29227.408203,809354
2018-10-02,34500.000000,34950.000000,34400.000000,34750.000000,29567.753906,884414
2018-10-04,35200.000000,35200.000000,33650.000000,33700.000000,28674.339844,1232835
2018-10-05,33750.000000,34450.000000,33400.000000,34200.000000,29099.775391,934563
2018-10-08,34150.000000,34700.000000,33750.000000,33900.000000,28844.515625,692152
