Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,497.500000,497.500000,497.500000,497.500000,497.500000,2200
2020-02-04,497.000000,497.000000,496.500000,497.000000,497.000000,3220
2020-02-05,497.000000,497.000000,497.000000,497.000000,497.000000,782
2020-02-06,497.000000,497.500000,497.000000,497.000000,497.000000,3308
2020-02-07,497.000000,497.000000,496.000000,496.000000,496.000000,2010
2020-02-10,496.000000,496.000000,496.000000,496.000000,496.000000,0
2020-02-11,496.000000,496.000000,496.000000,496.000000,496.000000,0
2020-02-12,497.500000,497.500000,496.000000,497.500000,497.500000,8
2020-02-13,497.500000,497.500000,497.500000,497.500000,497.500000,0
2020-02-14,497.500000,497.500000,497.500000,497.500000,497.500000,0
2020-02-18,497.500000,497.500000,497.500000,497.500000,497.500000,0
2020-02-19,497.000000,497.500000,497.000000,497.500000,497.500000,1020
2020-02-20,495.000000,495.000000,495.000000,495.000000,495.000000,100
2020-02-21,495.000000,495.000000,495.000000,495.000000,495.000000,2322
2020-02-24,495.000000,495.000000,495.000000,495.000000,495.000000,2
2020-02-25,496.500000,496.500000,495.000000,495.000000,495.000000,1502
2020-02-26,495.500000,496.000000,495.500000,495.500000,495.500000,15360
2020-02-27,495.500000,495.500000,495.500000,495.500000,495.500000,0
2020-02-28,495.000000,495.000000,494.000000,495.000000,495.000000,1184
2020-03-02,496.000000,496.000000,495.000000,495.000000,495.000000,54
2020-03-03,496.000000,496.000000,495.000000,495.000000,495.000000,1148
2020-03-04,495.000000,496.000000,495.000000,495.000000,495.000000,11398
2020-03-05,495.000000,495.000000,495.000000,495.000000,495.000000,3504
2020-03-06,495.000000,495.000000,495.000000,495.000000,495.000000,14
2020-03-09,495.000000,495.000000,495.000000,495.000000,495.000000,12
2020-03-10,495.000000,495.000000,495.000000,495.000000,495.000000,0
2020-03-11,495.000000,495.000000,492.500000,492.500000,492.500000,4284
2020-03-12,490.500000,490.500000,490.000000,490.000000,490.000000,20
2020-03-13,490.000000,490.000000,487.000000,487.500000,487.500000,750
2020-03-16,487.500000,487.500000,487.500000,487.500000,487.500000,0
2020-03-17,487.500000,487.500000,487.500000,487.500000,487.500000,0
2020-03-18,480.000000,480.000000,480.000000,480.000000,480.000000,20
2020-03-19,475.000000,475.000000,475.000000,475.000000,475.000000,40
2020-03-20,471.500000,476.899994,470.000000,476.899994,476.899994,1906
2020-03-23,467.500000,467.500000,467.500000,467.500000,467.500000,20
2020-03-24,465.500000,482.500000,465.000000,482.500000,482.500000,10246
2020-03-25,482.500000,482.500000,482.500000,482.500000,482.500000,0
2020-03-26,475.000000,483.500000,475.000000,483.500000,483.500000,254
2020-03-27,484.000000,485.000000,484.000000,485.000000,485.000000,12
2020-03-30,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-03-31,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-04-01,478.750000,478.750000,478.750000,478.750000,478.750000,3000
2020-04-02,478.750000,478.750000,478.000000,478.000000,478.000000,8052
2020-04-03,478.000000,478.000000,478.000000,478.000000,478.000000,0
2020-04-06,478.000000,478.000000,478.000000,478.000000,478.000000,638
2020-04-07,478.000000,478.000000,478.000000,478.000000,478.000000,0
2020-04-08,484.000000,484.000000,484.000000,484.000000,484.000000,22
2020-04-09,485.000000,485.000000,485.000000,485.000000,485.000000,88
2020-04-13,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-04-14,485.500000,485.500000,485.500000,485.500000,485.500000,242
2020-04-15,475.000000,486.500000,475.000000,486.500000,486.500000,324
2020-04-16,485.000000,486.500000,485.000000,486.250000,486.250000,670
2020-04-17,486.250000,486.250000,486.250000,486.250000,486.250000,0
2020-04-20,485.000000,485.000000,485.000000,485.000000,485.000000,22
2020-04-21,492.500000,492.500000,487.500000,487.500000,487.500000,46
2020-04-22,487.500000,487.500000,487.500000,487.500000,487.500000,0
2020-04-23,487.500000,487.500000,487.500000,487.500000,487.500000,28
2020-04-24,486.000000,486.000000,486.000000,486.000000,486.000000,42
2020-04-27,486.000000,486.000000,486.000000,486.000000,486.000000,0
2020-04-28,486.000000,486.000000,486.000000,486.000000,486.000000,0
2020-04-29,486.000000,486.000000,486.000000,486.000000,486.000000,0
2020-04-30,486.000000,486.000000,486.000000,486.000000,486.000000,0
2020-05-01,479.000000,479.000000,479.000000,479.000000,479.000000,554
2020-05-04,485.000000,485.000000,485.000000,485.000000,485.000000,4
2020-05-05,487.500000,487.500000,485.000000,485.000000,485.000000,400
2020-05-06,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-07,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-08,484.000000,491.000000,482.500000,485.000000,485.000000,1196
2020-05-11,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-12,484.500000,491.000000,484.500000,485.000000,485.000000,152
2020-05-13,484.500000,485.000000,484.500000,485.000000,485.000000,10
2020-05-14,485.000000,488.750000,485.000000,485.000000,485.000000,660
2020-05-15,492.000000,492.500000,485.000000,486.250000,486.250000,2024
2020-05-18,486.250000,486.250000,486.250000,486.250000,486.250000,0
2020-05-19,492.500000,492.500000,485.000000,485.000000,485.000000,524
2020-05-20,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-21,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-22,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-26,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-27,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-28,485.000000,485.000000,485.000000,485.000000,485.000000,0
2020-05-29,487.500000,487.500000,484.500000,485.000000,485.000000,1180
2020-06-01,485.000000,485.000000,485.000000,485.000000,485.000000,30
2020-06-02,486.000000,486.000000,486.000000,486.000000,486.000000,30
2020-06-03,487.500000,487.500000,486.000000,486.000000,486.000000,54
2020-06-04,491.000000,491.000000,488.500000,488.500000,488.500000,72
2020-06-05,491.000000,492.500000,491.000000,492.500000,492.500000,68
2020-06-08,492.500000,492.500000,492.500000,492.500000,492.500000,0
2020-06-09,492.500000,492.500000,492.500000,492.500000,492.500000,0
2020-06-10,492.500000,492.500000,492.500000,492.500000,492.500000,0
2020-06-11,492.500000,492.500000,492.500000,492.500000,492.500000,0
2020-06-12,492.500000,492.500000,492.500000,492.500000,492.500000,0
2020-06-15,492.500000,492.500000,492.500000,492.500000,492.500000,0
2020-06-16,489.000000,489.000000,489.000000,489.000000,489.000000,102
2020-06-17,491.500000,491.500000,490.000000,490.000000,490.000000,2194
2020-06-18,495.000000,495.000000,495.000000,495.000000,495.000000,56
2020-06-19,494.000000,494.000000,490.000000,490.000000,490.000000,22
2020-06-22,495.000000,495.000000,495.000000,495.000000,495.000000,10
2020-06-23,495.500000,495.500000,491.000000,491.000000,491.000000,46
2020-06-24,493.000000,493.000000,493.000000,493.000000,493.000000,32
2020-06-25,491.450012,495.000000,490.000000,490.000000,490.000000,632
2020-06-26,490.500000,490.500000,490.000000,490.000000,490.000000,12
2020-06-29,490.000000,490.000000,490.000000,490.000000,490.000000,0
2020-06-30,495.000000,495.000000,495.000000,495.000000,495.000000,5376
2020-07-01,502.200012,502.200012,491.500000,492.500000,492.500000,6248
2020-07-02,500.000000,508.000000,492.500000,495.000000,495.000000,428
2020-07-06,495.000000,495.000000,495.000000,495.000000,495.000000,0
2020-07-07,494.000000,494.000000,494.000000,494.000000,494.000000,6
2020-07-08,495.000000,495.000000,493.000000,493.000000,493.000000,18
2020-07-09,499.250000,499.500000,497.500000,499.500000,499.500000,34
2020-07-10,499.500000,499.500000,499.500000,499.500000,499.500000,172
2020-07-13,509.000000,509.000000,499.500000,499.500000,499.500000,2378
2020-07-14,496.500000,501.500000,496.500000,500.500000,500.500000,300
2020-07-15,501.500000,504.500000,501.500000,503.500000,503.500000,2316
2020-07-16,504.000000,507.000000,504.000000,507.000000,507.000000,660
2020-07-17,512.500000,512.500000,512.500000,512.500000,512.500000,10
2020-07-20,508.500000,509.000000,508.500000,509.000000,509.000000,18
2020-07-21,509.500000,516.299988,509.500000,515.000000,515.000000,2366
2020-07-22,512.500000,520.000000,509.000000,515.000000,515.000000,2084
2020-07-23,510.000000,515.000000,507.500000,515.000000,515.000000,2372
2020-07-24,510.500000,515.000000,510.000000,515.000000,515.000000,168
2020-07-27,511.200012,519.500000,511.200012,515.000000,515.000000,90
2020-07-28,515.000000,515.000000,515.000000,515.000000,515.000000,0
2020-07-29,515.000000,515.000000,515.000000,515.000000,515.000000,0
2020-07-30,515.000000,515.000000,515.000000,515.000000,515.000000,0
2020-07-31,510.500000,510.500000,502.500000,502.500000,502.500000,3678
2020-08-03,507.500000,507.500000,507.500000,507.500000,507.500000,496
2020-08-04,507.500000,507.500000,507.500000,507.500000,507.500000,2
2020-08-05,506.250000,506.250000,506.250000,506.250000,506.250000,2
2020-08-06,510.000000,510.000000,510.000000,510.000000,510.000000,22
2020-08-07,504.000000,504.000000,504.000000,504.000000,504.000000,2000
2020-08-10,503.000000,503.000000,503.000000,503.000000,503.000000,10
2020-08-11,503.000000,503.000000,503.000000,503.000000,503.000000,146
2020-08-12,502.500000,505.750000,502.500000,505.750000,505.750000,214
2020-08-13,505.000000,505.000000,505.000000,505.000000,505.000000,8
